StudyDay,ParticipantIdentifier,SR_affect_neg_angry,SR_affect_neg_angry_am,SR_affect_neg_ashamed,SR_affect_neg_ashamed_am,SR_affect_neg_bored,SR_affect_neg_bored_am,SR_affect_neg_depressed,SR_affect_neg_depressed_am,SR_affect_neg_embarrassed,SR_affect_neg_embarrassed_am,SR_affect_neg_frustrated,SR_affect_neg_frustrated_am,SR_affect_neg_guilty,SR_affect_neg_guilty_am,SR_affect_neg_lazy,SR_affect_neg_lazy_am,SR_affect_neg_lonelyIsolated,SR_affect_neg_lonelyIsolated_am,SR_affect_neg_nervousAnxious,SR_affect_neg_nervousAnxious_am,SR_affect_neg_sad,SR_affect_neg_sad_am,SR_affect_neg_stressed,SR_affect_neg_stressed_am,SR_affect_pos_amused,SR_affect_pos_amused_am,SR_affect_pos_appreciated,SR_affect_pos_appreciated_am,SR_affect_pos_excited,SR_affect_pos_excited_am,SR_affect_pos_focused,SR_affect_pos_focused_am,SR_affect_pos_happy,SR_affect_pos_happy_am,SR_affect_pos_hopeful,SR_affect_pos_hopeful_am,SR_affect_pos_motivated,SR_affect_pos_motivated_am,SR_affect_pos_relaxedCalm,SR_affect_pos_relaxedCalm_am,drinks_gap,exercise_gap,leisureNonSolo_gap,leisureSolo_gap,nonoccupation_gap,occupation_gap,sleep_gap,socialMedia_gap
2022-09-30,852b45ca-f506-42b2-b5bd-2b0072b1b28b,5.0,5.0,2.0,3.0,4.0,4.0,1.0,2.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,4.0,1.0,3.0,5.0,5.0,3.0,1.0,3.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3.0,2.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,8a5a92f3-472a-4a39-bfd8-f43f60fdcd27,1.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,5.0,3.0,2.0,1.0,1.0,4.0,1.0,4.0,4.0,2.0,1.0,3.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,2.0,3.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,90592e06-bcf6-4150-85b0-c5daf7e7569c,2.0,,2.0,,2.0,,2.0,,1.0,,4.0,,2.0,,4.0,,2.0,,4.0,,2.0,,4.0,,2.0,,3.0,,2.0,,2.0,,3.0,,3.0,,2.0,,2.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,92863208-10a4-443b-a225-18630552f5cc,2.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,9330d6d9-c667-43be-b437-a3c988dd10d7,2.0,,1.0,,3.0,,1.0,,2.0,,1.0,,1.0,,3.0,,1.0,,3.0,,2.0,,4.0,,3.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,4.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,98cb45a7-4057-4e81-b1d7-e7aede5e106e,3.0,,1.0,,2.0,,3.0,,1.0,,3.0,,1.0,,2.0,,4.0,,2.0,,3.0,,5.0,,1.0,,3.0,,1.0,,4.0,,2.0,,4.0,,4.0,,1.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,9de55851-54a0-4295-b45f-1dc7d69c22a1,1.0,,4.0,,4.0,,3.0,,1.0,,4.0,,4.0,,5.0,,4.0,,3.0,,3.0,,3.0,,2.0,,2.0,,2.0,,2.0,,2.0,,2.0,,3.0,,3.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,a01397bb-a8a5-4cd1-af6f-6ace410f125d,3.0,,3.0,,3.0,,5.0,,4.0,,4.0,,2.0,,4.0,,2.0,,5.0,,5.0,,5.0,,5.0,,4.0,,5.0,,3.0,,4.0,,5.0,,3.0,,5.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,a33e1d38-6ee8-4da6-993b-a94a8ae7fc30,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2022-09-30,a57c95d0-1fcc-4a16-aba7-294259f89fd7,5.0,,4.0,,3.0,,4.0,,2.0,,4.0,,2.0,,4.0,,2.0,,5.0,,3.0,,4.0,,2.0,,2.0,,4.0,,3.0,,2.0,,4.0,,3.0,,3.0,,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
